[03:25:04] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:25:06] [ServerMain/INFO]: Loaded 7 recipes
[03:25:06] [ServerMain/INFO]: Loaded 1271 advancements
[03:25:07] [Server thread/INFO]: Starting minecraft server version 1.20.1
[03:25:07] [Server thread/INFO]: Loading properties
[03:25:07] [Server thread/INFO]: Default game type: SURVIVAL
[03:25:07] [Server thread/INFO]: Generating keypair
[03:25:07] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:25:07] [Server thread/INFO]: Using epoll channel type
[03:25:08] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:25:08] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:25:08] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:25:08] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:25:08] [Server thread/INFO]: Preparing level "world"
[03:25:20] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:25:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:25:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
